#            1 - s            2 - Rx            3 - Ry            4 - Rz            5 - Px            6 - Py            7 - Pz           8 - Efx           9 - Efy          10 - Efz          11 - Bfx          12 - Bfy          13 - Bfz         14 - Ekin            15 - t
        0.17522207                 0                 0        0.17522207                 0                 0         8.9745209                 0                 0          -6846255                 0                 0      -0.036151686         4.1033534             0.645	GUN, SOLB, SOLF, SOLM, 
        0.17820172                 0                 0        0.17820172                 0                 0         9.0146864                 0                 0        -4771291.1                 0                 0      -0.037919362         4.1237523             0.655	GUN, SOLB, SOLF, SOLM, 
        0.18118148                 0                 0        0.18118148                 0                 0         9.0426786                 0                 0        -3158448.9                 0                 0      -0.040308072         4.1379693             0.665	GUN, SOLB, SOLF, SOLM, 
        0.18416131                 0                 0        0.18416131                 0                 0         9.0612086                 0                 0        -1958177.3                 0                 0      -0.043344685         4.1473808             0.675	GUN, SOLB, SOLF, SOLM, 
        0.18714119                 0                 0        0.18714119                 0                 0         9.0726968                 0                 0        -1102307.2                 0                 0      -0.047269458         4.1532159             0.685	GUN, SOLB, SOLF, SOLM, 
         0.1901211                 0                 0         0.1901211                 0                 0         9.0791638                 0                 0        -517850.41                 0                 0      -0.052083755         4.1565007             0.695	GUN, SOLB, SOLF, SOLM, 
        0.19310101                 0                 0        0.19310101                 0                 0         9.0822019                 0                 0         -137391.2                 0                 0      -0.058105411         4.1580438             0.705	GUN, SOLB, SOLF, SOLM, 
        0.19608093                 0                 0        0.19608093                 0                 0          9.083008                 0                 0         95824.709                 0                 0      -0.065271604         4.1584532             0.715	GUN, SOLB, SOLF, SOLM, 
        0.19906085                 0                 0        0.19906085                 0                 0         9.0824458                 0                 0         226642.47                 0                 0      -0.073953007         4.1581677             0.725	GUN, SOLB, SOLF, SOLM, 
        0.20204076                 0                 0        0.20204076                 0                 0         9.0811161                 0                 0         288879.56                 0                 0      -0.083971923         4.1574923             0.735	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.20502066                 0                 0        0.20502066                 0                 0         9.0794213                 0                 0         307016.17                 0                 0      -0.095680814         4.1566315             0.745	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.20800056                 0                 0        0.20800056                 0                 0         9.0776201                 0                 0         298307.05                 0                 0       -0.10873976         4.1557166             0.755	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.21098045                 0                 0        0.21098045                 0                 0           9.07587                 0                 0         274553.19                 0                 0       -0.12335371         4.1548277             0.765	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.21396034                 0                 0        0.21396034                 0                 0         9.0742593                 0                 0         243576.89                 0                 0       -0.13901983         4.1540096             0.775	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.21694022                 0                 0        0.21694022                 0                 0         9.0728303                 0                 0         210571.28                 0                 0       -0.15560943         4.1532837             0.785	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.21992009                 0                 0        0.21992009                 0                 0         9.0715949                 0                 0         178166.86                 0                 0       -0.17254808         4.1526562             0.795	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.22289996                 0                 0        0.22289996                 0                 0         9.0705496                 0                 0         148259.87                 0                 0        -0.1893057         4.1521253             0.805	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.22587983                 0                 0        0.22587983                 0                 0         9.0696798                 0                 0         121676.51                 0                 0        -0.2053653         4.1516835             0.815	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.22885969                 0                 0        0.22885969                 0                 0          9.068966                 0                 0         98684.143                 0                 0       -0.21991135          4.151321             0.825	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.23183955                 0                 0        0.23183955                 0                 0          9.068387                 0                 0         79210.756                 0                 0       -0.23264104         4.1510269             0.835	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.23481941                 0                 0        0.23481941                 0                 0         9.0679223                 0                 0         62993.128                 0                 0       -0.24268439         4.1507909             0.845	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.23779927                 0                 0        0.23779927                 0                 0         9.0675527                 0                 0         49717.507                 0                 0       -0.25003517         4.1506031             0.855	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.24077913                 0                 0        0.24077913                 0                 0          9.067261                 0                 0         38893.404                 0                 0       -0.25397601          4.150455             0.865	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.24375898                 0                 0        0.24375898                 0                 0         9.0670329                 0                 0          30202.63                 0                 0       -0.25477039         4.1503391             0.875	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.24673884                 0                 0        0.24673884                 0                 0         9.0668557                 0                 0         23289.663                 0                 0       -0.25197443         4.1502491             0.885	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.24971869                 0                 0        0.24971869                 0                 0          9.066719                 0                 0         17837.566                 0                 0       -0.24605128         4.1501797             0.895	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.25269855                 0                 0        0.25269855                 0                 0         9.0666144                 0                 0         13571.639                 0                 0       -0.23689766         4.1501265             0.905	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
         0.2556784                 0                 0         0.2556784                 0                 0         9.0665348                 0                 0         10264.321                 0                 0       -0.22512031         4.1500861             0.915	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.25865826                 0                 0        0.25865826                 0                 0         9.0664745                 0                 0         7713.6248                 0                 0        -0.2109742         4.1500555             0.925	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
        0.26163811                 0                 0        0.26163811                 0                 0         9.0664293                 0                 0         5760.0533                 0                 0       -0.19514254         4.1500325             0.935	GUN, SOLB, SOLF, SOLM, DR1, DR1, DR1, DR1, DR1, DR1, 
